13.421906, -14.189357, 109.044108
10.749843, -14.982917, 104.432118
8.288915, -15.154985, 100.268770
6.065055, -14.966667, 96.565581
4.079911, -14.616596, 93.286758
2.318849, -14.247655, 90.379025
0.757257, -13.958760, 87.789137
-0.634911, -13.816741, 85.472670
-1.890060, -13.866279, 83.397546
-3.041005, -14.137435, 81.544826
-4.119814, -14.650964, 79.908364
-5.157174, -15.421746, 78.494285
-6.182062, -16.460616, 77.320705
-7.221557, -17.774735, 76.417900
-8.300623, -19.366492, 75.828836
-9.441744, -21.230785, 75.609867
-10.664237, -23.350421, 75.831075
-11.983099, -25.689410, 76.575479
-13.407211, -28.184073, 77.935844
-14.936789, -30.732484, 80.007341
-16.560038, -33.183828, 82.873941
-18.249246, -35.331081, 86.586628
-19.956929, -36.912675, 91.133105
-21.613237, -37.630624, 96.402396
-23.126422, -37.191807, 102.153923
-24.388364, -35.372944, 108.007207
-25.286484, -32.097105, 113.470361
-25.721297, -27.494605, 118.016283
-25.625960, -21.914908, 121.193415
-24.981822, -15.870147, 122.733258
-23.824184, -9.923106, 122.608992
-22.235869, -4.562914, 121.020031
-20.330995, -0.116824, 118.314376
-18.234804, 3.276798, 114.887808
-16.065603, 5.641326, 111.099680
-13.922592, 7.106770, 107.225813
-11.880341, 7.853010, 103.447550
-9.988608, 8.066693, 99.864269
-8.275425, 7.915641, 96.515476
-6.751586, 7.537794, 93.402889
-5.415266, 7.039565, 90.507970
-4.256091, 6.499143, 87.803919
-3.258389, 5.971660, 85.262876
-2.403631, 5.494551, 82.859666
-1.672149, 5.092325, 80.573321
-1.044277, 4.780503, 78.387337
-0.501048, 4.568743, 76.289311
-0.024564, 4.463284, 74.270349
0.401875, 4.468822, 72.324475
0.793814, 4.589994, 70.448154
1.165806, 4.832541, 68.639982
1.531657, 5.204275, 66.900576
1.904736, 5.715907, 65.232665
2.298333, 6.381791, 63.641438
2.726040, 7.220619, 62.135160
3.202173, 8.256078, 60.726150
3.742205, 9.517428, 59.432220
4.363208, 11.039925, 58.278726
5.084280, 12.864899, 57.301426
5.926909, 15.039154, 56.550389
6.915189, 17.613111, 56.095213
8.075741, 20.636742, 56.031713
9.437094, 24.151806, 56.489994
11.028116, 28.178191, 57.643074
12.874900, 32.691477, 59.713776
14.995254, 37.588692, 62.974826
17.389822, 42.640961, 67.732741
20.029057, 47.437772, 74.280818
22.836381, 51.341207, 82.803852
25.670611, 53.490365, 93.226341
28.315329, 52.916178, 105.030406
30.487675, 48.813711, 117.133642
31.878794, 40.931727, 127.972852
32.226009, 29.889543, 135.894155
31.393633, 17.154908, 139.743613
29.422236, 4.584082, 139.321847
